"host_total_listings_count","host_has_profile_pic","host_identity_verified","accommodates","bedrooms","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_days_since_joining","host_response_time_category","host_response_rate_percentage","host_acceptance_rate_percentage","host_is_superhost_filled","neighbourhood_grouped","dist_to_dt","property_type_grouped","entire_home_apt","bathrooms_numeric","security","essentials","kitchen_amenities","entertainment","bedroom_amenities","work","parking","toiletries","climate_control","convenience_features","price_numeric"
1,TRUE,TRUE,2,1,1,2,30,2,2,30,30,2,30,TRUE,28,58,88,178,149,6,0,4.97,4.97,4.97,4.99,5,4.96,4.93,FALSE,1,1,0,0,1.51,2984,"within a few hours",1,0.9,TRUE,"Asheville",3.32793721700265,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,135
1,TRUE,FALSE,2,1,2,1,1125,1,1,1125,1125,1,1125,TRUE,1,12,12,49,121,18,2,4.79,4.87,4.55,4.97,4.92,4.82,4.74,FALSE,1,1,0,0,1.23,3928,"within a few hours",1,0.9,FALSE,"Fletcher",12.8563906783382,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102
9,TRUE,TRUE,1,NA,1,2,90,1,2,90,90,1.4,90,TRUE,8,27,43,309,295,21,2,4.82,4.9,4.86,4.9,4.94,4.92,4.88,FALSE,9,0,9,0,2.98,3619,"within an hour",1,0.99,FALSE,"Asheville",0.516786130085106,"Private Room",FALSE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,57
3,TRUE,TRUE,2,NA,1,1,1125,1,1,1125,1125,1,1125,TRUE,0,0,19,19,336,29,3,4.92,4.96,4.88,4.98,4.98,4.92,4.9,FALSE,2,1,1,0,3.46,2975,"within an hour",1,0.74,TRUE,"Asheville",3.40147867714844,"Private Room",FALSE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85
4,TRUE,TRUE,4,2,2,1,31,1,3,31,31,2.1,31,TRUE,15,45,75,337,117,21,1,4.71,4.87,4.91,4.93,4.91,4.36,4.62,FALSE,4,4,0,0,1.2,2974,"within an hour",1,1,TRUE,"Asheville",0.370456869953648,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,162
1,TRUE,TRUE,2,6,1,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,116,2,0,4.92,4.94,4.93,4.98,4.99,4.89,4.82,FALSE,1,1,0,0,1.18,2974,"N/A",NA,1,TRUE,"Asheville",3.87976506185834,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,71
1,TRUE,TRUE,4,3,3,5,100,2,5,100,100,5,100,TRUE,0,0,5,183,83,8,1,4.9,4.88,4.95,4.97,4.99,4.91,4.92,FALSE,1,1,0,0,0.84,2971,"within an hour",1,1,TRUE,"Asheville",4.55955504178957,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,159
1,TRUE,TRUE,2,1,1,2,1125,2,2,1125,1125,2,1125,TRUE,24,54,69,69,264,22,2,4.93,4.98,4.97,4.97,4.97,4.87,4.9,FALSE,1,1,0,0,2.71,2970,"within an hour",1,1,TRUE,"Asheville",3.31611495053235,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,76
3,TRUE,TRUE,2,NA,1,1,1125,1,3,1125,1125,1.6,1125,TRUE,9,25,50,309,692,95,6,4.86,4.88,4.92,4.96,4.96,4.89,4.81,TRUE,2,2,0,0,7.03,3194,"within an hour",1,1,TRUE,"Asheville",1.04755990276635,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98
11,TRUE,TRUE,3,1,2,1,30,1,2,1125,1125,1.1,1125,TRUE,10,31,58,58,274,29,1,4.74,4.81,4.8,4.92,4.74,4.82,4.81,TRUE,6,6,0,0,2.79,2960,"within an hour",0.93,0.99,FALSE,"Asheville",6.93028889047056,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68
